========================================================
  ME Attack S1 — Malicious Vehicles, No RSU             
========================================================

  Simulation Parameters:
    Total vehicles        : 200
    Attack percentage     : 20%
    Echo attacker vehicles: 40
    Benign (real link) veh: 200
    Active attack groups  : 20

  Vehicle Roles (NS-3 node IDs):
    V5  [benign — real link]
    V6  [benign — real link]
    V7  [benign — real link]
    V8  [benign — real link]
    V9  [benign — real link]
    V10  [benign — real link]
    V11  [benign — real link]
    V12  [benign — real link]
    V13  [benign — real link]
    V14  [benign — real link]
    V15  [benign — real link]
    V16  [benign — real link]
    V17  [ECHO ATTACKER] <-- in active group
    V18  [benign — real link]
    V19  [ECHO ATTACKER] <-- in active group
    V20  [benign — real link]
    V21  [ECHO ATTACKER] <-- in active group
    V22  [ECHO ATTACKER] <-- in active group
    V23  [ECHO ATTACKER] <-- in active group
    V24  [benign — real link]
    V25  [benign — real link]
    V26  [benign — real link]
    V27  [benign — real link]
    V28  [ECHO ATTACKER] <-- in active group
    V29  [benign — real link]
    V30  [benign — real link]
    V31  [ECHO ATTACKER] <-- in active group
    V32  [benign — real link]
    V33  [benign — real link]
    V34  [ECHO ATTACKER] <-- in active group
    V35  [benign — real link]
    V36  [benign — real link]
    V37  [ECHO ATTACKER] <-- in active group
    V38  [benign — real link]
    V39  [benign — real link]
    V40  [benign — real link]
    V41  [benign — real link]
    V42  [ECHO ATTACKER] <-- in active group
    V43  [ECHO ATTACKER] <-- in active group
    V44  [ECHO ATTACKER] <-- in active group
    V45  [benign — real link]
    V46  [benign — real link]
    V47  [benign — real link]
    V48  [benign — real link]
    V49  [benign — real link]
    V50  [benign — real link]
    V51  [benign — real link]
    V52  [benign — real link]
    V53  [benign — real link]
    V54  [ECHO ATTACKER] <-- in active group
    V55  [benign — real link]
    V56  [benign — real link]
    V57  [benign — real link]
    V58  [benign — real link]
    V59  [benign — real link]
    V60  [benign — real link]
    V61  [benign — real link]
    V62  [benign — real link]
    V63  [benign — real link]
    V64  [benign — real link]
    V65  [benign — real link]
    V66  [ECHO ATTACKER] <-- in active group
    V67  [benign — real link]
    V68  [ECHO ATTACKER] <-- in active group
    V69  [benign — real link]
    V70  [benign — real link]
    V71  [benign — real link]
    V72  [ECHO ATTACKER] <-- in active group
    V73  [benign — real link]
    V74  [benign — real link]
    V75  [benign — real link]
    V76  [benign — real link]
    V77  [benign — real link]
    V78  [benign — real link]
    V79  [benign — real link]
    V80  [benign — real link]
    V81  [benign — real link]
    V82  [ECHO ATTACKER] <-- in active group
    V83  [benign — real link]
    V84  [ECHO ATTACKER] <-- in active group
    V85  [benign — real link]
    V86  [ECHO ATTACKER] <-- in active group
