========================================================
  ME Attack S1 — Malicious Vehicles, No RSU             
========================================================

  Simulation Parameters:
    Total vehicles        : 200
    Attack percentage     : 20%
    Echo attacker vehicles: 40
    Benign (real link) veh: 200
    Active attack groups  : 20

  Vehicle Roles (NS-3 node IDs):
    V5  [ECHO ATTACKER] <-- in active group
    V6  [ECHO ATTACKER] <-- in active group
    V7  [ECHO ATTACKER] <-- in active group
    V8  [ECHO ATTACKER] <-- in active group
    V9  [ECHO ATTACKER] <-- in active group
    V10  [ECHO ATTACKER] <-- in active group
    V11  [ECHO ATTACKER] <-- in active group
    V12  [ECHO ATTACKER] <-- in active group
    V13  [ECHO ATTACKER] <-- in active group
    V14  [ECHO ATTACKER] <-- in active group
    V15  [ECHO ATTACKER] <-- in active group
    V16  [ECHO ATTACKER] <-- in active group
    V17  [ECHO ATTACKER] <-- in active group
    V18  [ECHO ATTACKER] <-- in active group
    V19  [ECHO ATTACKER] <-- in active group
    V20  [ECHO ATTACKER] <-- in active group
    V21  [ECHO ATTACKER] <-- in active group
    V22  [ECHO ATTACKER] <-- in active group
    V23  [ECHO ATTACKER] <-- in active group
    V24  [ECHO ATTACKER] <-- in active group
    V25  [ECHO ATTACKER] <-- in active group
    V26  [ECHO ATTACKER] <-- in active group
    V27  [ECHO ATTACKER] <-- in active group
    V28  [ECHO ATTACKER] <-- in active group
    V29  [ECHO ATTACKER] <-- in active group
    V30  [ECHO ATTACKER] <-- in active group
    V31  [ECHO ATTACKER] <-- in active group
    V32  [ECHO ATTACKER] <-- in active group
    V33  [ECHO ATTACKER] <-- in active group
    V34  [ECHO ATTACKER] <-- in active group
    V35  [ECHO ATTACKER] <-- in active group
    V36  [ECHO ATTACKER] <-- in active group
    V37  [ECHO ATTACKER] <-- in active group
    V38  [ECHO ATTACKER] <-- in active group
    V39  [ECHO ATTACKER] <-- in active group
    V40  [ECHO ATTACKER] <-- in active group
    V41  [ECHO ATTACKER] <-- in active group
    V42  [ECHO ATTACKER] <-- in active group
    V43  [ECHO ATTACKER] <-- in active group
    V44  [ECHO ATTACKER] <-- in active group
    V45  [benign — real link]
    V46  [benign — real link]
    V47  [benign — real link]
    V48  [benign — real link]
    V49  [benign — real link] <-- in active group
    V50  [benign — real link]
    V51  [benign — real link]
    V52  [benign — real link]
    V53  [benign — real link]
    V54  [benign — real link]
    V55  [benign — real link]
    V56  [benign — real link]
    V57  [benign — real link]
    V58  [benign — real link]
    V59  [benign — real link]
    V60  [benign — real link]
    V61  [benign — real link]
    V62  [benign — real link]
    V63  [benign — real link]
    V64  [benign — real link]
    V65  [benign — real link]
    V66  [benign — real link]
    V67  [benign — real link]
